TracePro Surface Source Property Data
File Name  C:\Users\usr1\Desktop\project\optical\tracepro\source\CXA1507_LED1.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at Source Source Property Generator

Name   CXA1507_LED1
Catalog    CXA1507
Description    
User_Data  1
Spectral Type  3
Angular Type   4
Units  0
Quantity   1
Emission   14.8
Wavelength1    0
Wavelength2    0
Angle1 90
Angle2 10

Temperature	Wavelength	PolarAngle	AzimuthAngle	Emissivity
300	0.4423	21.724	0.000	0.7066343
300	0.4423	24.828	0.000	0.6880641
300	0.4423	27.931	0.000	0.666923
300	0.4423	31.034	0.000	0.6445839
300	0.4423	34.138	0.000	0.6217193
300	0.4423	37.241	0.000	0.5976272
300	0.4423	40.345	0.000	0.5711613
300	0.4423	43.448	0.000	0.5411804
300	0.4423	46.552	0.000	0.5073426
300	0.4423	49.655	0.000	0.4718172
300	0.4423	52.759	0.000	0.4381312
300	0.4423	55.862	0.000	0.4062164
300	0.4423	58.966	0.000	0.3718692
300	0.4423	62.069	0.000	0.3318342
300	0.4423	65.172	0.000	0.2887155
300	0.4423	68.276	0.000	0.2465222
300	0.4423	71.379	0.000	0.2002645
300	0.4423	74.483	0.000	0.1506748
300	0.4423	77.586	0.000	0.1147341
300	0.4423	80.690	0.000	0.07832863
300	0.4423	83.793	0.000	0.04022889
300	0.4423	86.897	0.000	0.01485376
300	0.4423	90.000	0.000	0
300	0.4525	0.000	0.000	0.9139526
300	0.4525	3.103	0.000	0.9127863
300	0.4525	6.207	0.000	0.9091113
300	0.4525	9.310	0.000	0.9029214
300	0.4525	12.414	0.000	0.8941885
300	0.4525	15.517	0.000	0.8826957
300	0.4525	18.621	0.000	0.8679838
300	0.4525	21.724	0.000	0.8495762
300	0.4525	24.828	0.000	0.8272496
300	0.4525	27.931	0.000	0.8018319
300	0.4525	31.034	0.000	0.774974
300	0.4525	34.138	0.000	0.7474842
300	0.4525	37.241	0.000	0.7185186
300	0.4525	40.345	0.000	0.6866991
300	0.4525	43.448	0.000	0.6506535
300	0.4525	46.552	0.000	0.6099707
300	0.4525	49.655	0.000	0.5672591
300	0.4525	52.759	0.000	0.5267588
300	0.4525	55.862	0.000	0.4883881
300	0.4525	58.966	0.000	0.447093
300	0.4525	62.069	0.000	0.3989595
300	0.4525	65.172	0.000	0.3471185
300	0.4525	68.276	0.000	0.2963901
300	0.4525	71.379	0.000	0.2407751
300	0.4525	74.483	0.000	0.1811542
300	0.4525	77.586	0.000	0.1379432
300	0.4525	80.690	0.000	0.09417339
300	0.4525	83.793	0.000	0.04836662
300	0.4525	86.897	0.000	0.01785846
300	0.4525	90.000	0.000	0
300	0.4627	0.000	0.000	0.4179729
300	0.4627	3.103	0.000	0.4174395
300	0.4627	6.207	0.000	0.4157588
300	0.4627	9.310	0.000	0.4129281
300	0.4627	12.414	0.000	0.4089343
300	0.4627	15.517	0.000	0.4036784
300	0.4627	18.621	0.000	0.3969502
300	0.4627	21.724	0.000	0.388532
300	0.4627	24.828	0.000	0.3783215
300	0.4627	27.931	0.000	0.3666974
300	0.4627	31.034	0.000	0.3544146
300	0.4627	34.138	0.000	0.3418428
300	0.4627	37.241	0.000	0.3285961
300	0.4627	40.345	0.000	0.3140443
300	0.4627	43.448	0.000	0.2975598
300	0.4627	46.552	0.000	0.2789545
300	0.4627	49.655	0.000	0.2594215
300	0.4627	52.759	0.000	0.2408997
300	0.4627	55.862	0.000	0.2233518
300	0.4627	58.966	0.000	0.2044666
300	0.4627	62.069	0.000	0.1824539
300	0.4627	65.172	0.000	0.1587458
300	0.4627	68.276	0.000	0.1355465
300	0.4627	71.379	0.000	0.1101124
300	0.4627	74.483	0.000	0.08284624
300	0.4627	77.586	0.000	0.06308479
300	0.4627	80.690	0.000	0.0430678
300	0.4627	83.793	0.000	0.02211924
300	0.4627	86.897	0.000	0.008167111
300	0.4627	90.000	0.000	0
300	0.4729	0.000	0.000	0.2001521
300	0.4729	3.103	0.000	0.1998967
300	0.4729	6.207	0.000	0.1990919
300	0.4729	9.310	0.000	0.1977364
300	0.4729	12.414	0.000	0.1958239
